total error;
avg err;MSE;
0,0595596831119884;0,389618676744721;
programs error;
program;avg err;MSE;
0;0,0353324961400927;0,144876064607916
1;-0,00488431382798682;0,13637975002034
2;0,086375957676944;0,220289845531961
3;0,264831053715739;1,11863467686871
4;-0,0154840630894352;0,195875462336242
5;0,10883043350069;0,279726480790715
6;0,0336900761265427;0,274124523541235
7;-0,00337292783027853;0,147111419944068
8;0,0202387718339431;0,156478997591426
9;0,0646179403088319;0,232246056025847
10;0,0649810896767939;0,198027476399295

programs splitup;
program;splitup;
0;1,73049645390071;
1;1,28095238095238;
2;2,955;
3;0,185600006103516;
4;2,445;
5;1,31914893617021;
6;2,2258064516129;
7;1,05027932960894;
8;1,62987012987013;
9;2,64935064935065;
10;1,8;

buckets;
bucket;number;
-95;21;
-94;32;
-93;15;
-92;13;
-91;15;
-90;24;
-89;15;
-88;10;
-87;8;
-86;3;
-85;8;
-84;11;
-83;14;
-82;29;
-81;17;
-80;8;
-79;11;
-78;5;
-77;9;
-76;10;
-75;18;
-74;18;
-73;6;
-72;3;
-71;5;
-70;2;
-69;23;
-68;14;
-67;13;
-66;14;
-65;22;
-64;9;
-63;15;
-62;12;
-61;13;
-60;17;
-59;10;
-58;16;
-57;11;
-56;7;
-55;6;
-54;10;
-53;5;
-52;6;
-51;5;
-50;11;
-49;10;
-48;13;
-47;39;
-46;46;
-45;43;
-44;45;
-43;45;
-42;19;
-41;13;
-40;12;
-39;8;
-38;4;
-37;21;
-36;24;
-35;31;
-34;60;
-33;32;
-32;31;
-31;30;
-30;48;
-29;152;
-28;245;
-27;252;
-26;246;
-25;320;
-24;91;
-23;70;
-22;65;
-21;72;
-20;95;
-19;154;
-18;194;
-17;312;
-16;364;
-15;356;
-14;428;
-13;390;
-12;370;
-11;277;
-10;186;
-9;224;
-8;236;
-7;334;
-6;445;
-5;478;
-4;563;
-3;692;
-2;877;
-1;795;
0;1478;
1;747;
2;775;
3;786;
4;779;
5;781;
6;718;
7;573;
8;540;
9;444;
10;351;
11;277;
12;252;
13;228;
14;200;
15;226;
16;194;
17;213;
18;224;
19;199;
20;237;
21;188;
22;172;
23;185;
24;164;
25;181;
26;204;
27;206;
28;226;
29;196;
30;177;
31;165;
32;129;
33;125;
34;101;
35;99;
36;86;
37;103;
38;60;
39;60;
40;56;
41;51;
42;41;
43;48;
44;37;
45;35;
46;30;
47;28;
48;37;
49;36;
50;46;
51;29;
52;18;
53;22;
54;23;
55;20;
56;19;
57;19;
58;21;
59;18;
60;12;
61;15;
62;6;
63;13;
64;10;
65;18;
66;13;
67;13;
68;10;
69;13;
70;5;
71;3;
72;9;
73;3;
74;1;
75;6;
76;4;
77;8;
78;8;
79;11;
80;7;
81;8;
82;4;
83;10;
84;6;
85;5;
86;3;
87;5;
88;6;
89;4;
90;7;
91;2;
92;3;
93;1;
94;4;
95;4;
96;11;
97;0;
98;4;
99;1;
100;5;
101;5;
102;6;
103;5;
104;6;
105;2;
106;2;
107;4;
108;8;
109;6;
110;1;
111;3;
112;4;
113;5;
114;2;
115;3;
116;4;
117;6;
118;1;
119;0;
120;1;
121;0;
122;4;
123;1;
124;4;
125;2;
126;3;
127;3;
128;7;
129;6;
130;7;
131;3;
132;2;
133;4;
134;1;
135;1;
136;5;
137;3;
138;1;
139;3;
140;7;
141;5;
142;3;
143;0;
144;0;
145;0;
146;2;
147;1;
148;1;
149;3;
150;3;
151;1;
152;0;
153;2;
154;0;
155;1;
156;2;
157;1;
158;0;
159;0;
160;1;
161;1;
162;0;
163;1;
164;1;
165;0;
166;0;
167;3;
168;5;
169;1;
170;3;
171;1;
172;9;
173;5;
174;0;
175;4;
176;3;
177;9;
178;0;
179;12;
180;6;
181;2;
182;4;
183;1;
184;3;
185;9;
186;3;
187;11;
188;5;
189;6;
190;4;
191;9;
192;2;
193;8;
194;3;
195;4;
196;4;
197;10;
198;6;
199;11;
200;5;
201;4;
202;2;
203;2;
204;0;
205;2;
206;1;
207;1;
208;1;
209;0;
210;0;
211;0;
212;2;
213;2;
214;1;
215;0;
216;2;
217;1;
218;1;
219;0;
220;0;
221;2;
222;0;
223;1;
224;2;
225;2;
226;4;
227;3;
228;1;
229;1;
230;5;
231;3;
232;3;
233;4;
234;3;
235;1;
236;2;
237;7;
238;4;
239;3;
240;3;
241;5;
242;4;
243;3;
244;2;
245;5;
246;0;
247;0;
248;2;
249;6;
250;4;
251;7;
252;3;
253;3;
254;5;
255;13;
256;3;
257;6;
258;6;
259;2;
260;2;
261;3;
262;7;
263;1;
264;5;
265;6;
266;8;
267;11;
268;0;
269;14;
270;1;
271;3;
272;2;
273;0;
274;1;
275;0;
276;0;
277;1;
278;2;
279;0;
280;1;
281;1;
282;0;
283;3;
284;1;
285;0;
286;2;
287;0;
288;0;
289;1;
290;0;
291;0;
292;0;
293;0;
294;1;
295;1;
296;0;
297;0;
298;0;
299;0;
300;0;
301;0;
302;0;
303;0;
304;0;
305;0;
306;0;
307;0;
308;0;
309;0;
310;0;
311;0;
312;0;
313;0;
314;0;
315;0;
316;1;
317;0;
318;0;
319;1;
320;0;
321;0;
322;0;
323;0;
324;0;
325;0;
326;1;
327;0;
328;0;
329;0;
330;0;
331;0;
332;0;
333;1;
334;0;
335;1;
336;0;
337;0;
338;0;
339;0;
340;0;
341;0;
342;0;
343;0;
344;0;
345;0;
346;1;
347;1;
348;0;
349;0;
350;1;
351;0;
352;0;
353;2;
354;0;
355;0;
356;0;
357;0;
358;0;
359;0;
360;1;
361;0;
362;0;
363;0;
364;0;
365;0;
366;1;
367;0;
368;0;
369;0;
370;0;
371;1;
372;0;
373;0;
374;0;
375;0;
376;0;
377;0;
378;0;
379;0;
380;1;
381;0;
382;0;
383;0;
384;0;
385;0;
386;1;
387;0;
388;0;
389;1;
390;0;
391;0;
392;0;
393;0;
394;0;
395;0;
396;0;
397;0;
398;0;
399;0;
400;0;
401;1;
